interaction_id,customer_id,product_id,rating,timestamp,quantity,purchase_amount,interaction_type
INT_0000001,CUST_0674,PROD_00131,3.5,2023-10-01,1,973.16,cart_add
INT_0000002,CUST_0998,PROD_00101,4.5,2024-03-04,1,3128.53,purchase
INT_0000003,CUST_0363,PROD_00045,,2023-10-10,3,13205.88,purchase
INT_0000004,CUST_0736,PROD_00063,5.0,2023-11-09,1,3518.47,purchase
INT_0000005,CUST_0313,PROD_00108,3.5,2023-04-03,1,2875.2,purchase
INT_0000006,CUST_0246,PROD_00003,3.0,2023-02-28,1,77001.71,purchase
INT_0000007,CUST_0952,PROD_00051,5.0,2024-03-10,1,2505.88,view
INT_0000008,CUST_0140,PROD_00008,4.0,2024-06-29,1,56223.56,purchase
INT_0000009,CUST_0632,PROD_00024,3.5,2023-01-08,1,727.27,cart_add
INT_0000010,CUST_0768,PROD_00053,4.5,2024-06-24,1,6856.41,purchase
INT_0000011,CUST_0460,PROD_00028,4.0,2024-06-20,2,64536.82,purchase
INT_0000012,CUST_0376,PROD_00049,4.0,2023-02-22,1,6374.8,purchase
INT_0000013,CUST_0383,PROD_00054,4.5,2023-09-13,2,18885.08,view
INT_0000014,CUST_0879,PROD_00033,3.5,2023-10-28,1,9465.44,purchase
INT_0000015,CUST_0647,PROD_00023,4.0,2023-11-09,2,2809.98,view
INT_0000016,CUST_0528,PROD_00079,3.5,2024-04-19,2,25699.48,cart_add
INT_0000017,CUST_0059,PROD_00013,4.5,2023-12-03,1,4064.55,purchase
INT_0000018,CUST_0359,PROD_00052,4.0,2023-12-30,1,11263.67,purchase
INT_0000019,CUST_0203,PROD_00008,4.0,2023-06-07,1,56223.56,view
INT_0000020,CUST_0008,PROD_00007,4.0,2023-08-20,1,26132.62,purchase
INT_0000021,CUST_0374,PROD_00099,4.0,2023-10-03,1,676.7,purchase
INT_0000022,CUST_0860,PROD_00105,3.0,2024-03-20,1,774.81,view
INT_0000023,CUST_0727,PROD_00070,3.5,2023-02-11,1,1435.37,purchase
INT_0000024,CUST_0340,PROD_00145,3.5,2023-07-23,2,18156.98,view
INT_0000025,CUST_0273,PROD_00024,3.0,2024-05-22,2,1454.54,cart_add
INT_0000026,CUST_0333,PROD_00067,4.0,2024-02-14,1,4994.62,view
INT_0000027,CUST_0864,PROD_00108,3.0,2023-04-21,2,5750.4,purchase
INT_0000028,CUST_0353,PROD_00117,5.0,2023-08-31,1,795.45,cart_add
INT_0000029,CUST_0440,PROD_00111,4.5,2024-03-20,1,1363.36,purchase
INT_0000030,CUST_0085,PROD_00057,3.0,2023-06-06,1,2369.94,purchase
INT_0000031,CUST_0288,PROD_00141,4.5,2023-09-11,1,87138.31,purchase
INT_0000032,CUST_0486,PROD_00064,4.0,2024-05-29,1,4524.2,purchase
INT_0000033,CUST_0876,PROD_00100,4.0,2023-08-23,1,671.14,purchase
INT_0000034,CUST_0281,PROD_00053,4.5,2024-03-12,1,6856.41,purchase
INT_0000035,CUST_0886,PROD_00100,3.5,2023-11-10,1,671.14,view
INT_0000036,CUST_0228,PROD_00133,3.5,2024-06-06,1,1381.52,purchase
INT_0000037,CUST_0113,PROD_00027,4.0,2023-12-26,1,43843.14,purchase
INT_0000038,CUST_0917,PROD_00074,3.5,2023-02-23,1,3668.68,purchase
INT_0000039,CUST_0293,PROD_00026,4.5,2023-04-14,1,20390.69,purchase
INT_0000040,CUST_0504,PROD_00064,3.5,2023-04-10,1,4524.2,cart_add
INT_0000041,CUST_0789,PROD_00037,3.5,2024-01-06,1,2848.11,purchase
INT_0000042,CUST_0620,PROD_00036,4.5,2023-08-04,1,10068.24,purchase
INT_0000043,CUST_0109,PROD_00080,4.0,2023-05-04,1,3656.79,view
INT_0000044,CUST_0906,PROD_00122,3.5,2024-04-01,2,1387.42,purchase
INT_0000045,CUST_0560,PROD_00059,3.5,2024-04-30,3,8705.85,purchase
