interaction_id,customer_id,product_id,rating,timestamp,quantity,purchase_amount,interaction_type,user_idx,item_idx
INT_0000001,CUST_0674,PROD_00131,3.5,2023-10-01,1,973.16,cart_add,673,130
INT_0000002,CUST_0998,PROD_00101,4.5,2024-03-04,1,3128.53,purchase,997,100
INT_0000003,CUST_0363,PROD_00045,3.958715596330275,2023-10-10,3,13205.88,purchase,362,44
INT_0000004,CUST_0736,PROD_00063,5.0,2023-11-09,1,3518.47,purchase,735,62
INT_0000005,CUST_0313,PROD_00108,3.5,2023-04-03,1,2875.2,purchase,312,107
INT_0000006,CUST_0246,PROD_00003,3.0,2023-02-28,1,77001.71,purchase,245,2
INT_0000007,CUST_0952,PROD_00051,5.0,2024-03-10,1,2505.88,view,951,50
INT_0000008,CUST_0140,PROD_00008,4.0,2024-06-29,1,56223.56,purchase,139,7
INT_0000009,CUST_0632,PROD_00024,3.5,2023-01-08,1,727.27,cart_add,631,23
INT_0000010,CUST_0768,PROD_00053,4.5,2024-06-24,1,6856.41,purchase,767,52
INT_0000011,CUST_0460,PROD_00028,4.0,2024-06-20,2,64536.82,purchase,459,27
INT_0000012,CUST_0376,PROD_00049,4.0,2023-02-22,1,6374.8,purchase,375,48
INT_0000013,CUST_0383,PROD_00054,4.5,2023-09-13,2,18885.08,view,382,53
INT_0000014,CUST_0879,PROD_00033,3.5,2023-10-28,1,9465.44,purchase,878,32
INT_0000015,CUST_0647,PROD_00023,4.0,2023-11-09,2,2809.98,view,646,22
INT_0000016,CUST_0528,PROD_00079,3.5,2024-04-19,2,25699.48,cart_add,527,78
INT_0000017,CUST_0059,PROD_00013,4.5,2023-12-03,1,4064.55,purchase,58,12
INT_0000018,CUST_0359,PROD_00052,4.0,2023-12-30,1,11263.67,purchase,358,51
INT_0000019,CUST_0203,PROD_00008,4.0,2023-06-07,1,56223.56,view,202,7
INT_0000020,CUST_0008,PROD_00007,4.0,2023-08-20,1,26132.62,purchase,7,6
INT_0000021,CUST_0374,PROD_00099,4.0,2023-10-03,1,676.7,purchase,373,98
INT_0000022,CUST_0860,PROD_00105,3.0,2024-03-20,1,774.81,view,859,104
INT_0000023,CUST_0727,PROD_00070,3.5,2023-02-11,1,1435.37,purchase,726,69
INT_0000024,CUST_0340,PROD_00145,3.5,2023-07-23,2,18156.98,view,339,144
INT_0000025,CUST_0273,PROD_00024,3.0,2024-05-22,2,1454.54,cart_add,272,23
INT_0000026,CUST_0333,PROD_00067,4.0,2024-02-14,1,4994.62,view,332,66
INT_0000027,CUST_0864,PROD_00108,3.0,2023-04-21,2,5750.4,purchase,863,107
INT_0000028,CUST_0353,PROD_00117,5.0,2023-08-31,1,795.45,cart_add,352,116
INT_0000029,CUST_0440,PROD_00111,4.5,2024-03-20,1,1363.36,purchase,439,110
INT_0000030,CUST_0085,PROD_00057,3.0,2023-06-06,1,2369.94,purchase,84,56
INT_0000031,CUST_0288,PROD_00141,4.5,2023-09-11,1,87138.31,purchase,287,140
INT_0000032,CUST_0486,PROD_00064,4.0,2024-05-29,1,4524.2,purchase,485,63
INT_0000033,CUST_0876,PROD_00100,4.0,2023-08-23,1,671.14,purchase,875,99
INT_0000034,CUST_0281,PROD_00053,4.5,2024-03-12,1,6856.41,purchase,280,52
INT_0000035,CUST_0886,PROD_00100,3.5,2023-11-10,1,671.14,view,885,99
INT_0000036,CUST_0228,PROD_00133,3.5,2024-06-06,1,1381.52,purchase,227,132
INT_0000037,CUST_0113,PROD_00027,4.0,2023-12-26,1,43843.14,purchase,112,26
INT_0000038,CUST_0917,PROD_00074,3.5,2023-02-23,1,3668.68,purchase,916,73
INT_0000039,CUST_0293,PROD_00026,4.5,2023-04-14,1,20390.69,purchase,292,25
INT_0000040,CUST_0504,PROD_00064,3.5,2023-04-10,1,4524.2,cart_add,503,63
INT_0000041,CUST_0789,PROD_00037,3.5,2024-01-06,1,2848.11,purchase,788,36
INT_0000042,CUST_0620,PROD_00036,4.5,2023-08-04,1,10068.24,purchase,619,35
INT_0000043,CUST_0109,PROD_00080,4.0,2023-05-04,1,3656.79,view,108,79
INT_0000044,CUST_0906,PROD_00122,3.5,2024-04-01,2,1387.42,purchase,905,121
INT_0000045,CUST_0560,PROD_00059,3.5,2024-04-30,3,8705.85,purchase,559,58
INT_0000046,CUST_0739,PROD_00108,3.0,2024-03-04,1,2875.2,purchase,738,107
INT_0000047,CUST_0899,PROD_00111,4.5,2023-12-22,2,2726.72,purchase,898,110
INT_0000048,CUST_0735,PROD_00026,4.0,2024-05-09,1,20390.69,view,734,25
INT_0000049,CUST_0516,PROD_00029,3.5,2023-10-08,1,9462.09,purchase,515,28
INT_0000050,CUST_0047,PROD_00055,3.5,2023-07-14,1,7849.24,purchase,46,54
INT_0000051,CUST_0702,PROD_00068,4.0,2023-03-18,1,1794.76,cart_add,701,67
INT_0000052,CUST_0394,PROD_00045,4.0,2023-10-06,1,4401.96,purchase,393,44
INT_0000053,CUST_0586,PROD_00124,4.5,2024-06-09,1,1078.15,cart_add,585,123
INT_0000054,CUST_0538,PROD_00037,4.5,2023-10-31,1,2848.11,purchase,537,36
INT_0000055,CUST_0176,PROD_00013,4.5,2023-10-26,1,4064.55,purchase,175,12
INT_0000056,CUST_0905,PROD_00051,4.0,2023-02-22,1,2505.88,purchase,904,50
INT_0000057,CUST_0844,PROD_00065,3.0,2023-12-22,1,4292.79,view,843,64
INT_0000058,CUST_0333,PROD_00130,5.0,2023-09-28,1,11682.93,purchase,332,129
INT_0000059,CUST_0627,PROD_00001,4.5,2023-01-11,2,35252.26,purchase,626,0
INT_0000060,CUST_0989,PROD_00070,3.5,2023-01-17,1,1435.37,view,988,69
INT_0000061,CUST_0797,PROD_00035,4.5,2024-01-27,2,3998.74,purchase,796,34
INT_0000062,CUST_0642,PROD_00144,4.5,2024-03-28,1,42410.65,purchase,641,143
INT_0000063,CUST_0596,PROD_00035,5.0,2024-02-09,1,1999.37,purchase,595,34
INT_0000064,CUST_0744,PROD_00029,3.5,2024-05-05,1,9462.09,purchase,743,28
INT_0000065,CUST_0190,PROD_00066,4.0,2024-05-17,2,8957.72,purchase,189,65
INT_0000066,CUST_0289,PROD_00105,3.0,2023-07-01,2,1549.62,cart_add,288,104
INT_0000067,CUST_0193,PROD_00084,3.0,2023-09-09,1,4501.95,cart_add,192,83
INT_0000068,CUST_0413,PROD_00008,4.0,2023-01-13,1,56223.56,purchase,412,7
INT_0000069,CUST_0022,PROD_00086,3.5,2023-02-14,1,1468.63,cart_add,21,85
INT_0000070,CUST_0275,PROD_00145,4.0,2023-01-14,2,18156.98,purchase,274,144
INT_0000071,CUST_0811,PROD_00009,4.5,2023-12-13,2,48736.44,purchase,810,8
INT_0000072,CUST_0143,PROD_00125,4.0,2024-03-30,2,1578.24,purchase,142,124
INT_0000073,CUST_0491,PROD_00097,3.5,2023-10-01,1,2336.27,purchase,490,96
INT_0000074,CUST_0845,PROD_00035,4.5,2023-04-16,1,1999.37,cart_add,844,34
INT_0000075,CUST_0146,PROD_00007,3.5,2023-08-21,1,26132.62,purchase,145,6
INT_0000076,CUST_0672,PROD_00144,5.0,2024-01-29,1,42410.65,cart_add,671,143
INT_0000077,CUST_0924,PROD_00086,4.0,2023-04-23,1,1468.63,view,923,85
INT_0000078,CUST_0289,PROD_00102,4.0,2023-05-02,1,3942.17,view,288,101
INT_0000079,CUST_0087,PROD_00126,4.0,2023-07-02,1,548.2,purchase,86,125
INT_0000080,CUST_0186,PROD_00118,3.5,2023-11-05,1,3101.68,purchase,185,117
INT_0000081,CUST_0897,PROD_00120,4.5,2024-01-13,2,3258.82,cart_add,896,119
INT_0000082,CUST_0729,PROD_00006,4.5,2023-06-02,2,230572.06,purchase,728,5
INT_0000083,CUST_0152,PROD_00054,5.0,2024-05-04,2,18885.08,purchase,151,53
INT_0000084,CUST_0438,PROD_00091,4.0,2023-04-03,1,1499.2,purchase,437,90
INT_0000085,CUST_0786,PROD_00078,4.0,2024-03-10,1,4758.22,view,785,77
INT_0000086,CUST_0617,PROD_00120,3.5,2023-09-09,1,1629.41,purchase,616,119
INT_0000087,CUST_0552,PROD_00111,4.0,2023-08-24,1,1363.36,purchase,551,110
INT_0000088,CUST_0432,PROD_00056,4.0,2023-08-13,1,886.99,purchase,431,55
INT_0000089,CUST_0003,PROD_00080,4.5,2024-01-07,1,3656.79,view,2,79
INT_0000090,CUST_0944,PROD_00105,4.0,2024-01-05,2,1549.62,view,943,104
INT_0000091,CUST_0839,PROD_00102,4.0,2024-03-07,1,3942.17,cart_add,838,101
INT_0000092,CUST_0058,PROD_00072,3.5,2023-05-27,1,3451.13,purchase,57,71
INT_0000093,CUST_0989,PROD_00064,3.0,2023-04-19,1,4524.2,purchase,988,63
INT_0000094,CUST_0858,PROD_00104,4.0,2023-05-31,1,1682.77,purchase,857,103
INT_0000095,CUST_0079,PROD_00093,5.0,2024-03-02,1,1951.47,purchase,78,92
INT_0000096,CUST_0762,PROD_00013,4.5,2023-11-03,1,4064.55,cart_add,761,12
INT_0000097,CUST_0455,PROD_00117,5.0,2023-10-21,1,795.45,purchase,454,116
